#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.223000000000000E+01  0.207487191920063E+00  0.331231814406750E-01  0.469980103573741E+01  0.750274563944061E+00
     0.223999999999999E+01  0.207334940105390E+00  0.332811691119006E-01  0.470196156811564E+01  0.754753530816227E+00
     0.224999999999999E+01  0.207181559236815E+00  0.334395927002326E-01  0.470413820391949E+01  0.759259009943385E+00
     0.225999999999999E+01  0.207027048181706E+00  0.335984636842562E-01  0.470633083859802E+01  0.763791432837053E+00
     0.226999999999999E+01  0.206871405962544E+00  0.337577935499383E-01  0.470853936142747E+01  0.768351232231709E+00
     0.227999999999999E+01  0.206714631754248E+00  0.339175937880150E-01  0.471076365552402E+01  0.772938842033009E+00
     0.228999999999999E+01  0.206556724881459E+00  0.340778758915572E-01  0.471300359785545E+01  0.777554697269493E+00
     0.229999999999999E+01  0.206397684815769E+00  0.342386513537128E-01  0.471525905925245E+01  0.782199234048026E+00
     0.230999999999999E+01  0.206237511172953E+00  0.343999316656234E-01  0.471752990441844E+01  0.786872889512505E+00
     0.231999999999999E+01  0.206076203710148E+00  0.345617283145163E-01  0.471981599193840E+01  0.791576101806127E+00
     0.232999999999999E+01  0.205913762323053E+00  0.347240527819672E-01  0.472211717428589E+01  0.796309310036725E+00
     0.233999999999999E+01  0.205750187043103E+00  0.348869165423346E-01  0.472443329782868E+01  0.801072954245466E+00
     0.234999999999999E+01  0.205585478034653E+00  0.350503310613607E-01  0.472676420283249E+01  0.805867475378498E+00
     0.235999999999999E+01  0.205419635592169E+00  0.352143077949375E-01  0.472910972346264E+01  0.810693315261599E+00
     0.236999999999999E+01  0.205252660137461E+00  0.353788581880356E-01  0.473146968778330E+01  0.815550916577491E+00
     0.237999999999999E+01  0.205084552216900E+00  0.355439936737914E-01  0.473384391775480E+01  0.820440722846053E+00
     0.238999999999999E+01  0.204915312498699E+00  0.357097256727502E-01  0.473623222922818E+01  0.825363178406935E+00
     0.239999999999999E+01  0.204744941770217E+00  0.358760655922614E-01  0.473863443193695E+01  0.830318728404590E+00
     0.240999999999999E+01  0.204573440935310E+00  0.360430248260218E-01  0.474105032948631E+01  0.835307818775603E+00
     0.241999999999999E+01  0.204400811011730E+00  0.362106147537636E-01  0.474347971933925E+01  0.840330896238111E+00
     0.242999999999999E+01  0.204227053128574E+00  0.363788467410828E-01  0.474592239279962E+01  0.845388408283182E+00
